path,label
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_900.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_3809.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_1074.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_447.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_732.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_4820.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_1316.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_2576.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_3143.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_4691.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_2942.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_500.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_4464.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_4722.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_3502.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_509.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_2753.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_2082.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_816.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_4678.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_716.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_4121.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_2498.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_130.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_371.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_693.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_3044.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_810.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_4505.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_2799.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_4374.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_4245.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_1974.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_762.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_3895.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_1349.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_1906.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_3846.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_1936.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_3397.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_1066.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_1906.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_3629.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_1976.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_1900.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_4229.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_1819.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_4669.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_64.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_2773.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_3816.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_4016.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_2623.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_4813.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_782.jpg,1
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_1057.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_4331.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Real\real_2199.jpg,0
d:\Folder_Kuliah_Cadangan\Sems_7\Pengcit\IF4073_Deepfake_Detection\src\..\data\images\Dataset\Train\Fake\fake_4256.jpg,1
